sample,strain,Microbiome,Sex,cage,Age (wks)
1,C57BL/6,GF,M,GF1,19
2,C57BL/6,GF,F,GF3,19
3,C57BL/6,GF,M,GF2,~29
4,C57BL/6,GF,M,GF2,~29
5,C57BL/6,GF,M,GF2,~29
6,C57BL/6,GF,F,GF3,19
7,C57BL/6,GF,F,GF3,19
8,C57BL/6,GF,F,GF3,19
9,C57BL/6,GF,M,GF1,19
10,C57BL/6,GF,M,GF1,19
11,C57BL/6,SPF,M,SPF1,14
12,C57BL/6,SPF,M,SPF1,13
13,C57BL/6,SPF,M,SPF1,13
14,C57BL/6,SPF,M,SPF2,13
15,C57BL/6,SPF,M,SPF2,13
16,C57BL/6,SPF,M,SPF3,13
17,C57BL/6,SPF,M,SPF3,16
18,C57BL/6,SPF,F,SPF4,13
19,C57BL/6,SPF,F,SPF4,13
20,C57BL/6,SPF,F,SPF5,25
21,C57BL/6,SPF,F,SPF5,25
22,C57BL/6,SPF,F,SPF5,25
23,C57BL/6,Dysbiosed,M,A,15-20
24,C57BL/6,Dysbiosed,M,A,15-20
25,C57BL/6,Dysbiosed,M,A,15-20
26,C57BL/6,Dysbiosed,M,A,15-20
