SampleID	donor_short	donor_long	size_bin	orig	rand
Avo1	C	KC00	100+	9	1
Avo2	C	KC00	2 to 11	11	2
Avo3	A	BG89	100+	1	3
Avo4	B	PE27	11 to 100	6	4
Avo5	D	VL51	100+	13	5
Avo6	F	DW73	100+	21	6
Avo7	J	WU81	2 to 11	39	7
Avo8	G	BE04	100+	25	8
Avo9	D	VL51	11 to 100	14	9
Avo10	H	CP64	11 to 100	30	10
Avo11	E	UQ43	2 to 11	19	11
Avo12	E	UQ43	<2	20	12
Avo13	J	WU81	<2	40	13
Avo14	F	DW73	<2	24	14
Avo15	H	CP64	<2	32	15
Avo16	H	CP64	2 to 11	31	16
Avo17	J	WU81	11 to 100	38	17
Avo18	E	UQ43	100+	17	18
Avo19	J	WU81	100+	37	19
Avo20	B	PE27	100+	5	20
Avo21	A	BG89	<2	4	21
Avo22	B	PE27	2 to 11	7	22
Avo23	I	WH89	<2	36	23
Avo24	G	BE04	11 to 100	26	24
Avo25	F	DW73	11 to 100	22	25
Avo26	I	WH89	11 to 100	34	26
Avo27	E	UQ43	11 to 100	18	27
Avo28	A	BG89	2 to 11	3	28
Avo29	D	VL51	<2	16	29
Avo30	B	PE27	<2	8	30
Avo31	C	KC00	11 to 100	10	31
Avo32	H	CP64	100+	29	32
Avo33	G	BE04	2 to 11	27	33
Avo34	A	BG89	11 to 100	2	34
Avo35	C	KC00	<2	12	35
Avo36	I	WH89	2 to 11	35	36
Avo37	F	DW73	2 to 11	23	37
Avo38	G	BE04	<2	28	38
Avo39	D	VL51	2 to 11	15	39
Avo40	I	WH89	100+	33	40
