Sample Name,Name,Amount,size,donor,rep
1,Acetate,0.379,250-500,C,3
1,Butyrate,0.204,250-500,C,3
2,Acetate,1.445,<53,B,3
2,Butyrate,0.351,<53,B,3
2,Isobutyrate,0.095,<53,B,3
2,Isovalerate,0.117,<53,B,3
2,Propionate,0.428,<53,B,3
3,Acetate,3.093,<53,D,2
3,Propionate,0.228,<53,D,2
4,Acetate,1.037,500-1000,E,1
4,Butyrate,0.159,500-1000,E,1
4,Isobutyrate,0.08,500-1000,E,1
4,Isovalerate,0.105,500-1000,E,1
4,Propionate,0.636,500-1000,E,1
5,Acetate,1.297,500-1000,D,1
5,Propionate,0.204,500-1000,D,1
6,Acetate,1.396,250-500,D,1
6,Propionate,0.218,250-500,D,1
7,Acetate,0.778,53-250,C,1
7,Butyrate,0.091,53-250,C,1
8,Acetate,0.642,<53,C,3
8,Butyrate,0.219,<53,C,3
9,Acetate,0.526,Control,A,2
9,Butyrate,0.117,Control,A,2
9,Propionate,0.329,Control,A,2
12,Acetate,1.305,<53,E,2
12,Butyrate,0.232,<53,E,2
12,Isobutyrate,0.113,<53,E,2
12,Isovalerate,0.14,<53,E,2
12,Propionate,0.907,<53,E,2
13,Acetate,1.185,250-500,E,1
13,Butyrate,0.163,250-500,E,1
13,Isovalerate,0.098,250-500,E,1
13,Propionate,0.78,250-500,E,1
14,Acetate,1.062,500-1000,E,2
14,Butyrate,0.16,500-1000,E,2
14,Isobutyrate,0.082,500-1000,E,2
14,Isovalerate,0.11,500-1000,E,2
14,Propionate,0.646,500-1000,E,2
15,Acetate,0.367,1000-2000,C,3
15,Butyrate,0.197,1000-2000,C,3
16,Acetate,0.959,1000-2000,A,1
16,Butyrate,0.097,1000-2000,A,1
16,Isovalerate,0.083,1000-2000,A,1
16,Propionate,0.73,1000-2000,A,1
17,Acetate,0.483,500-1000,C,3
17,Butyrate,0.181,500-1000,C,3
18,Acetate,0.71,<53,C,2
18,Butyrate,0.183,<53,C,2
19,Acetate,1.201,1000-2000,B,3
19,Butyrate,0.236,1000-2000,B,3
19,Isovalerate,0.084,1000-2000,B,3
19,Propionate,0.31,1000-2000,B,3
20,Acetate,0.634,<53,C,1
20,Butyrate,0.22,<53,C,1
21,Acetate,1.147,53-250,E,3
21,Butyrate,0.186,53-250,E,3
21,Isobutyrate,0.088,53-250,E,3
21,Isovalerate,0.13,53-250,E,3
21,Propionate,0.779,53-250,E,3
22,Acetate,1.537,53-250,D,2
22,Propionate,0.253,53-250,D,2
23,Acetate,1.013,1000-2000,E,3
23,Butyrate,0.165,1000-2000,E,3
23,Isobutyrate,0.093,1000-2000,E,3
23,Isovalerate,0.105,1000-2000,E,3
23,Propionate,0.597,1000-2000,E,3
24,Acetate,1.195,250-500,B,1
24,Butyrate,0.224,250-500,B,1
24,Isobutyrate,0.078,250-500,B,1
24,Isovalerate,0.084,250-500,B,1
24,Propionate,0.286,250-500,B,1
25,Acetate,1.214,250-500,D,2
25,Propionate,0.218,250-500,D,2
27,Acetate,1.016,500-1000,A,3
27,Butyrate,0.094,500-1000,A,3
27,Isovalerate,0.08,500-1000,A,3
27,Propionate,0.749,500-1000,A,3
28,Acetate,0.193,Control,C,2
29,Acetate,0.327,500-1000,C,1
29,Butyrate,0.177,500-1000,C,1
33,Acetate,1.304,<53,E,1
33,Butyrate,0.236,<53,E,1
33,Isobutyrate,0.107,<53,E,1
33,Isovalerate,0.141,<53,E,1
33,Propionate,0.903,<53,E,1
34,Acetate,0.945,500-1000,A,2
34,Butyrate,0.096,500-1000,A,2
