Sample Name,Name,Amount
40,Acetate,2.322
39,Acetate,2.019
41,Acetate,1.748
42,Acetate,3.277
36,Acetate,2.66
35,Acetate,2.18
34,Acetate,2.104
27,Acetate,2.622
48,Acetate,2.448
10,Acetate,1.73
55,Acetate,1.899
56,Acetate,2.47
15,Acetate,1.292
32,Acetate,2.647
38,Acetate,2.053
37,Acetate,2.154
14,Acetate,2.266
20,Acetate,1.731
26,Acetate,2.382
29,Acetate,1.817
11,Acetate,2.267
28,Acetate,1.727
33,Acetate,1.897
24,Acetate,2.152
13,Acetate,2.649
52,Acetate,1.633
5,Acetate,3.098
8,Acetate,2.112
25,Acetate,2.33
47,Acetate,2.008
19,Acetate,2.205
31,Acetate,1.841
62,Acetate,1.659
17,Acetate,2.249
45,Acetate,2.035
16,Acetate,2.325
50,Acetate,2.811
60,Acetate,2.618
12,Acetate,1.632
6,Acetate,2.749
18,Acetate,2.109
44,Acetate,1.661
43,Acetate,2.263
3,Acetate,2.084
23,Acetate,2.347
30,Acetate,2.264
51,Acetate,1.739
21,Acetate,1.642
9,Acetate,1.964
59,Acetate,2.722
22,Acetate,2.145
7,Acetate,2.114
46,Acetate,2.73
61,Acetate,1.988
54,Acetate,2.427
49,Acetate,2.572
4,Acetate,1.884
64,Acetate,1.938
58,Acetate,3.863
73,Acetate,2.128
130,Acetate,1.618
68,Acetate,3.419
65,Acetate,2.514
85,Acetate,1.687
53,Acetate,1.615
78,Acetate,2.238
72,Acetate,2.7
70,Acetate,2.195
82,Acetate,1.719
66,Acetate,1.325
63,Acetate,2.811
116,Acetate,3.21
96,Acetate,2.429
67,Acetate,1.858
83,Acetate,1.918
93,Acetate,3.004
57,Acetate,1.843
97,Acetate,1.901
91,Acetate,2.007
104,Acetate,2.437
94,Acetate,2.656
90,Acetate,2.491
69,Acetate,2.639
76,Acetate,2.372
74,Acetate,1.663
117,Acetate,2.247
99,Acetate,2.483
131,Acetate,1.635
125,Acetate,2.483
112,Acetate,2.943
123,Acetate,2.287
103,Acetate,2.936
95,Acetate,1.456
100,Acetate,2.394
98,Acetate,2.421
1,Acetate,1.66
105,Acetate,1.553
89,Acetate,4.148
88,Acetate,2.22
79,Acetate,1.656
106,Acetate,2.306
126,Acetate,2.043
84,Acetate,2.856
71,Acetate,2.118
122,Acetate,3.206
133,Acetate,2.234
77,Acetate,2.14
86,Acetate,2.167
92,Acetate,2.451
81,Acetate,2.691
75,Acetate,2.139
114,Acetate,3.625
109,Acetate,2.024
107,Acetate,3.298
119,Acetate,2.626
87,Acetate,1.688
102,Acetate,2.061
135,Acetate,2.058
134,Acetate,2.343
