substrate_donor_short,substrate_donor_long,inoc_donor_short,inoc_donor_long,orig,rand
x,ZR77,A,WB74,1,25
x,ZR77,B,PJ48,2,22
x,ZR77,C,NH84,3,10
x,ZR77,D,GT64,4,31
x,ZR77,E,SM56,5,20
x,ZR77,F,ZQ31,6,19
x,ZR77,G,XD99,7,11
x,ZR77,H,EX17,8,17
x,ZR77,I,AA89,9,21
x,ZR77,J,QX74,10,6
x,ZR77,con,control,11,7
y,PE27,A,WB74,12,30
y,PE27,B,PJ48,13,4
y,PE27,C,NH84,14,32
y,PE27,D,GT64,15,18
y,PE27,E,SM56,16,5
y,PE27,F,ZQ31,17,15
y,PE27,G,XD99,18,16
y,PE27,H,EX17,19,28
y,PE27,I,AA89,20,33
y,PE27,J,QX74,21,8
y,PE27,con,control,22,1
z,WH89,A,WB74,23,29
z,WH89,B,PJ48,24,24
z,WH89,C,NH84,25,14
z,WH89,D,GT64,26,13
z,WH89,E,SM56,27,9
z,WH89,F,ZQ31,28,12
z,WH89,G,XD99,29,26
z,WH89,H,EX17,30,2
z,WH89,I,AA89,31,23
z,WH89,J,QX74,32,3
z,WH89,con,control,33,27
