"substrate","inoc","scfa","conc"
"PE27","AA89","Acetate",2.229
"PE27","control","Acetate",2.329
"PE27","EX17","Acetate",2.147
"PE27","GT64","Acetate",1.911
"PE27","NH84","Acetate",1.983
"PE27","PJ48","Acetate",1.995
"PE27","QX74","Acetate",2.748
"PE27","SM56","Acetate",2.329
"PE27","WB74","Acetate",1.998
"PE27","XD99","Acetate",2.102
"PE27","ZQ31","Acetate",2.205
"WH89","AA89","Acetate",3.732
"WH89","control","Acetate",0.954
"WH89","EX17","Acetate",5.499
"WH89","GT64","Acetate",3.964
"WH89","NH84","Acetate",2.565
"WH89","PJ48","Acetate",3.665
"WH89","QX74","Acetate",4.848
"WH89","SM56","Acetate",6.317
"WH89","WB74","Acetate",4.445
"WH89","XD99","Acetate",4.645
"WH89","ZQ31","Acetate",4.7
"ZR77","AA89","Acetate",5.301
"ZR77","control","Acetate",4.743
"ZR77","EX17","Acetate",4.974
"ZR77","GT64","Acetate",2.45
"ZR77","NH84","Acetate",2.743
"ZR77","PJ48","Acetate",2.293
"ZR77","QX74","Acetate",4.226
"ZR77","SM56","Acetate",3.256
"ZR77","WB74","Acetate",2.771
"ZR77","XD99","Acetate",4.392
"ZR77","ZQ31","Acetate",3.709
"PE27","AA89","Butyrate",0.289
"PE27","control","Butyrate",0.274
"PE27","EX17","Butyrate",0.403
"PE27","GT64","Butyrate",0.215
"PE27","NH84","Butyrate",0.227
"PE27","PJ48","Butyrate",0.622
"PE27","QX74","Butyrate",0.589
"PE27","SM56","Butyrate",0.467
"PE27","WB74","Butyrate",0.282
"PE27","XD99","Butyrate",0.436
"PE27","ZQ31","Butyrate",0.993
"WH89","AA89","Butyrate",0.32
"WH89","control","Butyrate",0.687
"WH89","EX17","Butyrate",0.797
"WH89","GT64","Butyrate",0.578
"WH89","NH84","Butyrate",0.576
"WH89","PJ48","Butyrate",1.758
"WH89","QX74","Butyrate",1.123
"WH89","SM56","Butyrate",1.489
"WH89","WB74","Butyrate",0.755
"WH89","XD99","Butyrate",0.728
"WH89","ZQ31","Butyrate",2.377
"ZR77","AA89","Butyrate",0.715
"ZR77","control","Butyrate",0.858
"ZR77","EX17","Butyrate",0.923
"ZR77","GT64","Butyrate",0.489
"ZR77","NH84","Butyrate",0.545
"ZR77","PJ48","Butyrate",0.865
"ZR77","QX74","Butyrate",0.955
"ZR77","SM56","Butyrate",0.808
"ZR77","WB74","Butyrate",0.468
"ZR77","XD99","Butyrate",0.752
"ZR77","ZQ31","Butyrate",1.582
"PE27","AA89","Propionate",0.357
"PE27","control","Propionate",0.301
"PE27","EX17","Propionate",0.369
"PE27","GT64","Propionate",0.618
"PE27","NH84","Propionate",0.453
"PE27","PJ48","Propionate",0.488
"PE27","QX74","Propionate",1.143
"PE27","SM56","Propionate",0.967
"PE27","WB74","Propionate",0.938
"PE27","XD99","Propionate",1.272
"PE27","ZQ31","Propionate",0.858
"WH89","AA89","Propionate",0.26
"WH89","control","Propionate",0.141
"WH89","EX17","Propionate",1.079
"WH89","GT64","Propionate",1.255
"WH89","NH84","Propionate",0.871
"WH89","PJ48","Propionate",1.058
"WH89","QX74","Propionate",2.462
"WH89","SM56","Propionate",2.313
"WH89","WB74","Propionate",1.995
"WH89","XD99","Propionate",2.677
"WH89","ZQ31","Propionate",1.782
"ZR77","AA89","Propionate",0.451
"ZR77","control","Propionate",0.308
"ZR77","EX17","Propionate",0.576
"ZR77","GT64","Propionate",0.69
"ZR77","NH84","Propionate",1.453
"ZR77","PJ48","Propionate",0.598
"ZR77","QX74","Propionate",2.051
"ZR77","SM56","Propionate",1.409
"ZR77","WB74","Propionate",1.214
"ZR77","XD99","Propionate",2.026
"ZR77","ZQ31","Propionate",1.579
"PE27","AA89","Valerate",0.1
"PE27","control","Valerate",0.146
"PE27","EX17","Valerate",0.144
"PE27","GT64","Valerate",0.1
"PE27","NH84","Valerate",0.1
"PE27","PJ48","Valerate",0.146
"PE27","QX74","Valerate",0.142
"PE27","SM56","Valerate",0.143
"PE27","WB74","Valerate",0.1
"PE27","XD99","Valerate",0.146
"PE27","ZQ31","Valerate",0.1
"WH89","AA89","Valerate",0.1
"WH89","control","Valerate",0.1
"WH89","EX17","Valerate",0.151
"WH89","GT64","Valerate",0.1
"WH89","NH84","Valerate",0.1
"WH89","PJ48","Valerate",0.1
"WH89","QX74","Valerate",0.157
"WH89","SM56","Valerate",0.168
"WH89","WB74","Valerate",0.142
"WH89","XD99","Valerate",0.159
"WH89","ZQ31","Valerate",0.154
"ZR77","AA89","Valerate",0.14
"ZR77","control","Valerate",0.141
"ZR77","EX17","Valerate",0.142
"ZR77","GT64","Valerate",0.1
"ZR77","NH84","Valerate",0.1
"ZR77","PJ48","Valerate",0.1
"ZR77","QX74","Valerate",0.157
"ZR77","SM56","Valerate",0.149
"ZR77","WB74","Valerate",0.1
"ZR77","XD99","Valerate",0.152
"ZR77","ZQ31","Valerate",0.143
"PE27","AA89","Isovalerate",0.263
"PE27","control","Isovalerate",0.299
"PE27","EX17","Isovalerate",0.272
"PE27","GT64","Isovalerate",0.301
"PE27","NH84","Isovalerate",0.281
"PE27","PJ48","Isovalerate",0.331
"PE27","QX74","Isovalerate",0.357
"PE27","SM56","Isovalerate",0.302
"PE27","WB74","Isovalerate",0.283
"PE27","XD99","Isovalerate",0.334
"PE27","ZQ31","Isovalerate",0.441
"WH89","AA89","Isovalerate",0.641
"WH89","control","Isovalerate",0.137
"WH89","EX17","Isovalerate",0.625
"WH89","GT64","Isovalerate",0.357
"WH89","NH84","Isovalerate",0.634
"WH89","PJ48","Isovalerate",0.245
