tube_no,name,species,common_name
8,Randy,Lemur catta,Ring-tailed lemur
7,Sophia,Lemur catta,Ring-tailed lemur
9,Brigitta,Lemur catta,Ring-tailed lemur
10,Nikos,Lemur catta,Ring-tailed lemur
12,Stewart,Lemur catta,Ring-tailed lemur
11,Alena,Lemur catta,Ring-tailed lemur
17,Halley,Varecia variegata,Black-and-white ruffed lemur
18,Orbit,Varecia variegata,Black-and-white ruffed lemur
14,Afo,Varecia variegata,Black-and-white ruffed lemur
13,Mae,Varecia variegata,Black-and-white ruffed lemur
16,Borealis,Varecia variegata,Black-and-white ruffed lemur
15,Ruby,Varecia variegata,Black-and-white ruffed lemur
2,Elliot,Propithecus coquereli,Coquerel's sifaka
1,Beatrice,Propithecus coquereli,Coquerel's sifaka
3,Gisela,Propithecus coquereli,Coquerel's sifaka
4,Rupert,Propithecus coquereli,Coquerel's sifaka
5,Remus,Propithecus coquereli,Coquerel's sifaka
6,Gertrude,Propithecus coquereli,Coquerel's sifaka
