redcap_record_ID,ID,block,ASA24_username,DHQ3_username
1,BG89,1,EPSOM012,EPSOM_00012
3,KC00,1,EPSOM013,EPSOM_00013
4,WU81,1,EPSOM010,EPSOM_00010
5,ZR77,1,EPSOM100,EPSOM_00008
10,CP64,1,EPSOM014,EPSOM_00014
12,VL51,1,EPSOM009,EPSOM_00009
14,DW73,1,EPSOM005,EPSOM_00005
15,PE27,1,EPSOM004,EPSOM_00004
16,UQ43,1,EPSOM003,EPSOM_00003
17,EA91,3,EPSOM006,EPSOM_00006
18,BE04,2,EPSOM016,EPSOM_00016
19,EC63,2,EPSOM018,EPSOM_00018
20,WH89,2,EPSOM002,EPSOM_00002
24,CI54,3,EPSOM015,EPSOM_00015
25,GL84,4,EPSOM007,EPSOM_00007
27,UQ16,3,EPSOM019,EPSOM_00019
31,YF85,5,EPSOM021,EPSOM_00021
32,IJ90,8,EPSOM026,EPSOM_00026
36,NF88,11,EPSOM038,EPSOM_00038
37,LC73,7,EPSOM029,EPSOM_00029
39,VQ77,7,EPSOM001,EPSOM_00001
40,EF80,8,EPSOM023,EPSOM_00023
41,CZ70,9,EPSOM028,EPSOM_00028
43,HI98,9,EPSOM035,EPSOM_00035
45,RG86,9,EPSOM032,EPSOM_00032
48,US29,12,EPSOM030,EPSOM_00030
49,VI62,13,EPSOM039,EPSOM_00039
50,GW68,11,EPSOM033,EPSOM_00033
51,SH66,10,EPSOM031,EPSOM_00031
53,EF45,14,EPSOM041,EPSOM_00041
56,FW16,15,EPSOM036,EPSOM_00036
58,QY11,15,EPSOM045,EPSOM_00045
59,IZ76,13,EPSOM040,EPSOM_00040
61,VQ50,14,EPSOM027,EPSOM_00027
64,GV14,15,EPSOM044,EPSOM_00044
65,TJ95,15,EPSOM025,EPSOM_00025
70,OQ44,15,EPSOM046,EPSOM_00046
72,BC67,16,EPSOM048,EPSOM_00048
74,BR02,16,EPSOM049,EPSOM_00049
75,DI36,16,EPSOM047,EPSOM_00047
76,BD00,16,EPSOM050,EPSOM_00050
