"sample","participant","day_merge","cluster","median_FPS"
"AA89_F1","AA89","F1",2,42.7
"AA89_T1","AA89","T1",2,36.3
"AN68_F1","AN68","F1",3,70.2166666666667
"AN68_T1","AN68","T1",3,104.942857142857
"CJ31_T1","CJ31","T1",3,107.8
"FS57_F1","FS57","F1",1,19.25
"FS57_T1","FS57","T1",1,35.5
"GF13_F1","GF13","F1",4,14.66
"GT64_F1","GT64","F1",5,59.5
"GT64_T1","GT64","T1",5,90.66
"HE12_F1","HE12","F1",2,30.33
"HE41_F1","HE41","F1",4,7.758
"HE41_T1","HE41","T1",4,6.795
"KC86_F1","KC86","F1",5,62.11
"KC86_T1","KC86","T1",5,90.68
"KM79_F1","KM79","F1",1,42.29
"KM79_T1","KM79","T1",1,24.99
"KX62_F1","KX62","F1",1,17.07
"KX62_T1","KX62","T1",1,17.61
"LA27_F1","LA27","F1",1,28.44
"LA27_T1","LA27","T1",4,8.984
"LJ71_F1","LJ71","F1",3,145.4
"LJ71_T1","LJ71","T1",3,152.4
"MJ64_F1","MJ64","F1",4,10.453
"MJ64_T1","MJ64","T1",4,12.74
"NH84_F1","NH84","F1",2,30.78
"NH84_T1","NH84","T1",1,16.48
"NV93_F1","NV93","F1",1,25.13
"NV93_T1","NV93","T1",4,10.183
"PJ48_F1","PJ48","F1",5,65.93
"PJ48_T1","PJ48","T1",5,63.47
"PV75_F1","PV75","F1",2,24.5125
"PV75_T1","PV75","T1",2,26.83
"QX74_F1","QX74","F1",4,7.822
"QX74_T1","QX74","T1",4,11.06
"SF58_F1","SF58","F1",5,57.92
"SF58_T1","SF58","T1",5,46.92
"SM56_F1","SM56","F1",1,17.8
"SM56_T1","SM56","T1",4,11.381
"VP72_F1","VP72","F1",1,31.56
"VP72_T1","VP72","T1",1,17.87
"WB74_F1","WB74","F1",3,94.4
"WB74_T1","WB74","T1",3,122.3
"XD99_F1","XD99","F1",1,33.71
"XD99_T1","XD99","T1",1,31.08
"ZE74_F1","ZE74","F1",3,79.89
"ZE74_T1","ZE74","T1",3,107.3
"ZQ31_T1","ZQ31","T1",1,17.82
