"","pearson.ecor","pearson.ep","pearson.eBH","spearman.erho","spearman.ep","spearman.eBH","kendall.etau","kendall.ep","kendall.eBH"
"ASV 1",0.266741105911518,0.000627054069686108,0.00585515877601621,0.240079503278667,0.00156322447827876,0.0138506955708836,0.1604180132306,0.0018686501484914,0.0160975822662413
"ASV 2",-0.244938017442577,0.000935254458455006,0.00927322347854582,0.0596213954865289,0.422389970614967,0.638325577364302,0.0512582993258596,0.303005653346267,0.523789997250437
"ASV 3",0.0595916258796193,0.439960309603954,0.619230657616625,0.0888246815059619,0.23625670822952,0.447885000092579,0.0545862834043838,0.277931377024967,0.495387300939357
"ASV 4",-0.0475857776064448,0.533144265673219,0.699774315162799,0.0666791534646949,0.368775164491898,0.589490022836498,0.0453450454086805,0.361278382805022,0.580639748533835
"ASV 5",0.204817713571314,0.00630686200524474,0.0349596025494154,0.213364759256098,0.0036778722667726,0.0252967355151592,0.143118004409714,0.00398304056119421,0.0274527791722723
"ASV 7",-0.204717970179839,0.00721429275131217,0.037428369149098,-0.141529163817803,0.055673949763002,0.17499779530398,-0.096374746655767,0.0525349158238813,0.170081532086663
"ASV 8",-0.140422886099172,0.0681454194311948,0.18192494898819,0.0852009336506168,0.250927139743182,0.468073340353906,0.0558431138053492,0.261540408458441,0.481858551938765
"ASV 9",-0.247027341263604,0.00127149989730689,0.0104912480898573,-0.239681378315092,0.00136269602668182,0.013318979016028,-0.165221327078555,0.00116154249437754,0.0125133876278986
"ASV 10",0.259155216914865,0.000388755005591716,0.00519832363122213,0.236791979451137,0.0012265801026016,0.013398112376355,0.1614701152317,0.00115507531803667,0.0135022820545839
"ASV 11",0.0419485527360433,0.57468126410183,0.73912175164174,0.0800651697434653,0.280237054422077,0.499935438174729,0.0493569875943772,0.320341958406275,0.542148822245071
"ASV 12",-0.137187322389075,0.0712129587712575,0.189179613067444,-0.00363002605095851,0.932038673481863,0.965102218796268,0.00294974147428916,0.927944131174983,0.962261370941412
"ASV 13",0.225019244374862,0.00305349439959717,0.0203335532912636,0.244270872572083,0.00089524476882544,0.0111464520149437,0.15745725498143,0.00164499957385226,0.0158437743337153
"ASV 14",0.139962260682124,0.069089487538943,0.182070287555581,0.228440757702424,0.00182934074808751,0.0164774530873136,0.15275584630112,0.00209662566398316,0.018557612678482
"ASV 15",-0.110294882555891,0.153324248536798,0.31224533677864,-0.00952713222922486,0.895043178956953,0.946893898281679,-0.00932110961358789,0.850654574956567,0.921828508454541
"ASV 16",0.0647800599361799,0.413930241878959,0.575057279746946,0.0525799548941318,0.455440027349789,0.626060349334836,0.0373220791018604,0.437556671998328,0.607672971641329
"ASV 17",0.00436534636412437,0.779971249221209,0.872354658351947,-0.0110526004996982,0.846618596936375,0.919319903543109,-0.0125315814267187,0.792288542009831,0.886237911999584
"ASV 18",0.302617430552282,5.82808221099087e-05,0.00112710142411661,0.242542695580035,0.0017231732088672,0.0142719351723102,0.161653728146377,0.00230551057944001,0.0176577929396255
"ASV 19",0.0557684429568077,0.47543087257132,0.644375671577573,0.0206317425451781,0.722395092599588,0.843498180560585,0.0116557478237084,0.735647358356987,0.847723835515138
"ASV 20",-0.0192665880016524,0.717415492599993,0.82339912450298,0.0207311349698362,0.714502970320454,0.837281838045355,0.0109304768107335,0.736425044136794,0.848365374700976
"ASV 21",0.0586611517175379,0.444843668770812,0.625576791907776,0.134776808961393,0.0688702087252781,0.201441900579086,0.0896132010727792,0.0716832166797178,0.208257676670992
"ASV 22",-0.00458133702182231,0.631202774109034,0.759946961202348,0.0321548079251239,0.530053865811052,0.689805739960247,0.0231636872511017,0.517037245843568,0.67446828497055
"ASV 23",-0.156230178489722,0.0432867061413304,0.131009324704132,-0.123354113272404,0.0955125387393937,0.24954282201585,-0.0894571300953036,0.0717937805004201,0.20959626616361
"ASV 24",-0.207414735126971,0.00763719145755822,0.0379079625289206,-0.235320275634136,0.00220233766460026,0.016964035931113,-0.161427884261324,0.00197112104583864,0.0163589528630594
"ASV 25",-0.22939528536003,0.00265962182179093,0.0180365968624207,0.034388646191224,0.643465869164487,0.804773947205721,0.0417425600227139,0.401299867099104,0.617054243045996
"ASV 26",-0.11593181616801,0.136642139840502,0.288430237178785,0.0394234259142163,0.59558458343286,0.773943791425091,0.030625716103583,0.537965999448934,0.727516826310938
