"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"ASV 1",0.00683853254047338,0.0447558913865092,0.00965009057897009,0.0508892720457118
"ASV 2",0.213068837945738,0.405828005816324,0.0124044888897352,0.0685222258117383
"ASV 3",0.144482304542771,0.322566329504917,0.587676544601758,0.716637500125795
"ASV 4",0.107723475854681,0.278087467773551,0.432245085553682,0.597535801051675
"ASV 5",0.0101150378588735,0.0633668897348676,0.107498475470111,0.252312986681097
"ASV 7",0.142842197451654,0.326385553475959,0.038591061635236,0.131348549125991
"ASV 8",0.732074095551517,0.825363156104541,0.364192558774588,0.539731047160653
"ASV 9",0.000475913449057935,0.00799883126019854,0.000785394541724112,0.00986432799477794
"ASV 10",0.00051359514622711,0.00893718730626954,0.000217315348890779,0.00466614735036708
"ASV 11",0.0378845063677475,0.148161544270204,0.0744842029271335,0.203853010013207
"ASV 12",0.0178647311546392,0.0910687272658351,0.0233702584931024,0.0947084880960228
"ASV 13",0.000175390446546838,0.00461579511303765,0.00680854598786656,0.0430685612179227
"ASV 14",0.0022775374524359,0.0236440273405809,0.210029939662467,0.380721098939717
"ASV 15",0.0803690462412274,0.235845878325882,0.159962391725173,0.330480061898482
"ASV 16",0.490759587699461,0.626607734145701,0.546068316059506,0.67103703682434
"ASV 17",0.543653896101295,0.692249417577667,0.286601126102694,0.463553826504461
"ASV 18",0.00130421655473736,0.0144317063013642,0.00115061327305192,0.0127243210139719
"ASV 19",0.335941095475131,0.51098755391395,0.473485506347573,0.622481905140066
"ASV 20",0.770473792331486,0.846980115497479,0.76272011233193,0.839578264884401
"ASV 21",0.00979107115979629,0.0618114350450575,0.173256657232638,0.349230132433352
"ASV 22",0.532060323562179,0.658413601605836,0.466741562669841,0.595757752720248
"ASV 23",0.230218070948069,0.425178887350554,0.115870212129779,0.270154423736957
"ASV 24",0.017027686707598,0.0810717563039593,0.0259014891931041,0.0959965081602289
"ASV 25",0.423607574681292,0.601861527744052,0.0322381241266841,0.122012892354021
"ASV 26",0.160454338599464,0.346683573860055,0.334800620824284,0.508656693151765
"ASV 27",0.368046473378276,0.514631900996871,0.0730726694712063,0.182768436610885
"ASV 28",0.0962621678148638,0.227388130733933,0.0314427257836008,0.103538565907165
"ASV 29",0.47888846932553,0.644670489085137,0.920004460598632,0.947825319198655
"ASV 30",3.53547259456582e-06,0.000339329100904953,0.000138250969552563,0.00298964904722555
"ASV 31",0.130840167627088,0.3091688021068,0.307068384800751,0.485716453278887
"ASV 32",0.41613334686714,0.596273656408175,0.448983585915511,0.612327230912449
"ASV 33",0.0426375161460634,0.142604485518649,0.0153680639560153,0.0679015412739935
"ASV 34",0.334788179081222,0.504963209798275,0.220743457225866,0.384099516245444
"ASV 36",0.326848208351883,0.473404807276441,0.292762686843895,0.431863651766829
"ASV 37",0.000175625465428185,0.00454881115650597,0.00742243915887453,0.0462611530237168
"ASV 38",0.250613678910162,0.441636354960388,0.109763785997043,0.248964435122386
"ASV 40",0.0815465381447226,0.196745491200423,0.0263002532778311,0.087710554403057
"ASV 41",0.0993181984918703,0.265566161428585,0.289026144809395,0.466707246456437
